ID,LICENSE ID,ACCOUNT NUMBER,SITE NUMBER,LEGAL NAME,DOING BUSINESS AS NAME,ADDRESS,CITY,STATE,ZIP CODE,WARD,PRECINCT,WARD PRECINCT,POLICE DISTRICT,LICENSE CODE,LICENSE DESCRIPTION,BUSINESS ACTIVITY ID,BUSINESS ACTIVITY,LICENSE NUMBER,APPLICATION TYPE,APPLICATION CREATED DATE,APPLICATION REQUIREMENTS COMPLETE,PAYMENT DATE,CONDITIONAL APPROVAL,LICENSE TERM START DATE,LICENSE TERM EXPIRATION DATE,LICENSE APPROVED FOR ISSUANCE,DATE ISSUED,LICENSE STATUS,LICENSE STATUS CHANGE DATE,SSA,LATITUDE,LONGITUDE,LOCATION
1543954-20050216,1572528,283340,2,FREEDOM TAX SERVICES INC,LIBERTY TAX SERVICE,5805 W CHICAGO AVE,CHICAGO,IL,60651,29,29,29-29,15,1010,Limited Business License,,,1543954,RENEW,,12/20/2004,03/14/2005,N,02/16/2005,02/15/2006,03/29/2005,12/07/2005,AAI,,,41.89467209,-87.770437438,"(41.894672089979515, -87.77043743792723)"
59370-20021116,1282702,18849,2,JUNG W & WOO J NO,CHICAGO BEAUTY SUPPLY,5600 W CHICAGO AVE # 1ST,CHICAGO,IL,60651,29,5,29-5,15,1010,Limited Business License,,,59370,RENEW,,09/24/2002,10/21/2002,N,11/16/2002,11/15/2003,10/21/2002,01/13/2003,AAI,,,41.894962293,-87.765460791,"(41.89496229349977, -87.76546079122906)"
1384368-20061116,1758973,267065,1,LYSTRA C. BEECHAM,CHARDAY'S BARBER CUTS & BEAUTY SALON,5661 W CHICAGO AVE,CHICAGO,IL,60651,29,35,29-35,15,1010,Limited Business License,,,1384368,RENEW,,09/20/2006,02/26/2007,N,11/16/2006,11/15/2007,02/26/2007,02/26/2007,AAI,,,41.894710512,-87.767764563,"(41.894710512241254, -87.76776456348807)"
1494536-20051116,1641461,277758,1,"ONLY BY FAITH, INC.",ONLY BY FAITH,5700 W CHICAGO AVE 2,CHICAGO,IL,60651,29,45,29-45,15,1010,Limited Business License,,,1494536,RENEW,,09/22/2005,10/25/2005,N,11/16/2005,11/15/2006,10/25/2005,10/26/2005,AAI,,,41.89492663,-87.768008331,"(41.89492662954099, -87.76800833135303)"
1545848-20061116,1751767,51393,3,CHU-IN-YUN,IDEEL CLEANERS,5609 W CHICAGO AVE,CHICAGO,IL,60651,29,35,29-35,15,1010,Limited Business License,,,1545848,RENEW,,09/20/2006,11/06/2006,N,11/16/2006,11/15/2007,11/15/2006,11/16/2006,AAI,,,41.89473748,-87.765798787,"(41.89473747960189, -87.76579878716564)"
1355856-20031116,1441077,263137,1,LATOYA MCCARROLL,MOHAIR NAILS & BOUTIQUE,5811 W CHICAGO AVE  1ST,CHICAGO,IL,60651,29,29,29-29,15,1010,Limited Business License,,,1355856,RENEW,,09/26/2003,02/23/2004,N,11/16/2003,11/15/2004,12/22/2003,02/24/2004,AAI,,,41.894669765,-87.77066533,"(41.89466976462685, -87.77066533021669)"
16430-20011116,1182419,37164,1,MARVIN MEDLOCK,MEDLOCK CONTRUCTION,5801 W CHICAGO AVE  1ST,CHICAGO,IL,60651,29,29,29-29,15,1011,Home Repair,,,16430,RENEW,,10/03/2001,11/08/2001,N,11/16/2001,11/15/2002,01/08/2002,01/09/2002,AAI,,,41.894674466,-87.770200318,"(41.89467446603847, -87.77020031763878)"
12776-20071116,1852732,27108,1,HAROLD R BLAKE,AVANTI ELEGANT BOUTIQUE,5949 W CHICAGO AVE,CHICAGO,IL,60651,29,29,29-29,15,1010,Limited Business License,,,12776,RENEW,,09/21/2007,11/26/2007,N,11/16/2007,11/15/2009,12/17/2007,12/17/2007,AAI,,,41.894616152,-87.774233382,"(41.894616151806034, -87.77423338188208)"
16429-20061116,1750183,37164,1,MARVIN MEDLOCK,MEDLOCK CONTRUCTION,5801 W CHICAGO AVE  1ST,CHICAGO,IL,60651,29,29,29-29,15,1010,Limited Business License,,,16429,RENEW,,09/20/2006,11/02/2006,N,11/16/2006,11/15/2007,11/02/2006,11/03/2006,AAI,,,41.894674466,-87.770200318,"(41.89467446603847, -87.77020031763878)"
1543954-20060216,1671433,283340,2,FREEDOM TAX SERVICES INC,LIBERTY TAX SERVICE,5805 W CHICAGO AVE,CHICAGO,IL,60651,29,29,29-29,15,1010,Limited Business License,,,1543954,RENEW,,12/21/2005,02/24/2006,N,02/16/2006,02/15/2007,02/24/2006,02/27/2006,AAI,,,41.89467209,-87.770437438,"(41.894672089979515, -87.77043743792723)"
